# Header: N IMF hubble Source
# 7 0.0 0.7 Salim 2007 UV
1.75 10.33 -8.60 0.3 0.3 1
1.75 10.45 -8.68 0.3 0.3 1
1.75 10.55 -8.69 0.3 0.3 1
1.75 10.67 -8.82 0.3 0.3 1
1.75 10.83 -8.86 0.3 0.3 1
1.75 11.06 -9.01 0.3 0.3 1
2.25 9.89 -8.44 0.3 0.3 1
2.25 10.10 -8.57 0.3 0.3 1
2.25 10.22 -8.50 0.3 0.3 1
2.25 10.34 -8.52 0.3 0.3 1
2.25 10.45 -8.53 0.3 0.3 1
2.25 10.57 -8.54 0.3 0.3 1
2.25 10.67 -8.56 0.3 0.3 1
2.25 10.83 -8.68 0.3 0.3 1
2.25 11.00 -8.78 0.3 0.3 1
2.25 11.25 -8.90 0.3 0.3 1
# 8 0.24 0.73 Daddi 2007
2.0 9.60 -8.56 0.3 0.3 1
2.0 9.80 -8.58 0.3 0.3 1
2.0 10.0 -8.60 0.3 0.3 1
2.0 10.2 -8.62 0.3 0.3 1
2.0 10.4 -8.64 0.3 0.3 1
2.0 10.6 -8.66 0.3 0.3 1
2.0 10.8 -8.68 0.3 0.3 1
2.0 11.0 -8.70 0.3 0.3 1
# 7 0.0 0.7 Salmi 2012
0.9 9.80 -9.31 0.3 0.3 1
0.9 10.0 -9.31 0.3 0.3 1
0.9 10.2 -9.32 0.3 0.3 1
0.9 10.4 -9.32 0.3 0.3 1
0.9 10.6 -9.32 0.3 0.3 1
0.9 10.8 -9.33 0.3 0.3 1
0.9 11.0 -9.33 0.3 0.3 1
# 31 0.0 0.7 Karim 2011
0.27 10.04 -9.96 0.07 0.08 1
0.49 10.05 -9.56 0.08 0.09 1
0.29 10.35 -10.15 0.05 0.03 1
0.49 10.34 -9.71 0.05 0.05 1
0.68 10.35 -9.59 0.09 0.10 1
0.89 10.35 -9.33 0.07 0.08 1
1.09 10.35 -9.13 0.06 0.06 1
0.28 10.63 -10.37 0.05 0.05 1
0.48 10.64 -9.96 0.07 0.05 1
0.69 10.63 -9.73 0.05 0.10 1
0.89 10.64 -9.55 0.05 0.09 1
1.09 10.64 -9.34 0.06 0.07 1
