# Redshift for all correlation functions
0.08
# Header: N mmin mmax imf hubble Comment
1.5488 144.12 14.27 1
1.9498 107.83 11.15 1
2.4547 83.08 8.47 1
3.0903 66.67 8.53 1
3.8905 54.39 7.03 1
4.8978 38.37 4.74 1
6.1660 27.65 3.50 1
7.7625 20.36 2.83 1
9.7724 15.23 2.25 1
12.3027 12.59 2.10 1
15.4882 10.10 1.53 1
# 31 9.77 10.27 13.7 0.0 0.73 Guo 2011
0.0155 1834.52 419.30 1
0.0195 1761.27 341.35 1
0.0245 1493.66 233.17 1
0.0309 1099.02 140.79 1
0.0389 1171.32 123.02 1
0.0490 977.27 89.70 1
0.0617 846.55 72.67 1
0.0776 714.42 61.32 1
0.0977 712.13 61.13 1
0.1230 645.73 58.31 1
0.1549 613.90 58.17 1
0.1950 554.84 53.39 1
0.2455 467.48 40.82 1
0.3090 390.67 28.84 1
0.3890 360.66 27.71 1
0.4898 307.86 23.19 1
0.6166 264.95 21.95 1
0.7762 218.54 15.14 1
0.9772 178.22 14.77 1
1.2303 137.49 10.36 1
1.5488 110.30 8.31 1
1.9498 86.35 6.51 1
2.4547 71.11 5.79 1
3.0903 57.80 4.44 1
3.8905 47.60 3.51 1
4.8978 39.71 3.29 1
6.1660 32.60 2.60 1
7.7625 26.02 1.84 1
9.7724 19.88 1.38 1
12.3027 15.79 1.14 1
15.4882 12.33 0.98 1
# 33 10.27 10.77 13.7 0.0 0.73 Guo 2011
0.0155 3503.02 226.60 1
0.0195 2229.51 151.07 1
0.0245 2684.99 173.76 1
0.0309 1643.22 91.23 1
0.0389 1619.18 99.84 1
0.0490 1215.06 63.71 1
0.0617 1177.91 76.23 1
0.0776 1008.77 68.35 1
0.0977 858.30 56.85 1
0.1230 784.61 53.17 1
0.1549 643.00 42.59 1
0.1950 544.42 31.06 1
0.2455 457.95 28.94 1
0.3090 395.40 22.56 1
0.3890 339.18 19.35 1
0.4898 294.29 19.94 1
0.6166 251.62 14.74 1
0.7762 210.63 15.87 1
0.9772 174.59 11.56 1
1.2303 141.92 9.83 1
1.5488 114.42 7.58 1
1.9498 94.23 5.95 1
2.4547 77.60 4.31 1
3.0903 64.32 3.17 1
3.8905 53.49 2.89 1
4.8978 45.22 2.79 1
6.1660 37.97 2.05 1
7.7625 31.68 1.81 1
9.7724 26.48 1.39 1
12.3027 21.66 1.27 1
15.4882 16.91 0.73 1
19.4984 12.64 0.60 1
24.5471 9.52 0.48 1
# 29 10.77 11.27 13.7 0.0 0.73 Guo 2011
0.0389 3371.49 269.42 1
0.0490 3092.04 219.00 1
0.0617 2448.21 206.58 1
0.0776 1780.64 147.59 1
0.0977 1454.31 100.79 1
0.1230 1278.35 90.54 1
0.1549 1045.78 75.65 1
0.1950 905.84 68.27 1
0.2455 755.71 59.23 1
0.3090 558.69 37.02 1
0.3890 450.38 31.21 1
0.4898 386.94 24.46 1
0.6166 302.39 23.25 1
0.7762 241.39 16.73 1
0.9772 194.91 11.42 1
1.2303 159.45 10.32 1
1.5488 130.23 9.03 1
1.9498 105.67 6.68 1
2.4547 90.05 6.10 1
3.0903 75.62 5.24 1
3.8905 64.23 4.55 1
4.8978 53.76 3.15 1
6.1660 44.70 2.55 1
7.7625 36.81 1.93 1
9.7724 29.62 1.69 1
12.3027 24.00 1.52 1
15.4882 18.57 1.29 1
19.4984 14.09 0.91 1
24.5471 10.59 0.44 1
# 17 11.27 11.77 13.7 0.0 0.73 Guo 2011
0.7762 641.29 62.66 1
0.9772 524.66 39.53 1
1.2303 342.71 24.27 1
1.5488 272.71 12.61 1
1.9498 216.66 14.68 1
2.4547 193.26 11.33 1
3.0903 157.09 9.69 1
3.8905 128.73 8.92 1
4.8978 107.40 6.95 1
6.1660 91.82 4.96 1
7.7625 69.92 5.27 1
9.7724 58.43 3.69 1
12.3027 47.11 3.41 1
15.4882 36.70 2.21 1
19.4984 30.17 1.54 1
24.5471 21.18 0.68 1
30.9030 15.84 0.90 1
# 14 9.0 9.5 10.0 0.0 1.0 Yang 2012
0.12 373.399 200.617 1
0.19 259.170 92.989 1
0.30 221.851 69.188 1
0.48 152.048 46.861 1
0.75 112.231 32.711 1
1.20 67.752 12.318 1
1.90 42.485 6.752 1
3.01 27.063 2.678 1
