# Header: Npoints zmin zmax IMF Hubble Comment
# 39 0.0 0.2 0.0 1.0 Li & White 2009
10.60 -2.329 -2.062 -2.665 1
10.80 -2.499 -2.259 -2.793 1
11.00 -2.605 -2.329 -2.955 1
11.20 -2.798 -2.510 -3.168 1
11.40 -2.955 -2.774 -3.166 1
11.60 -3.458 -3.058 -13.457 1
11.80 -4.040 -3.640 -9.990 1
12.00 -5.037 -4.637 -9.990 1
# 17 0.40 0.60 0.24 0.7 Perez-Gonzalez 2008
8.80 -1.984 -1.875 -2.102 1
9.00 -1.858 -1.763 -1.960 1
9.20 -1.981 -1.868 -2.104 1
9.40 -2.019 -1.905 -2.144 1
9.60 -2.070 -1.942 -2.212 1
9.80 -2.099 -1.981 -2.229 1
10.00 -2.145 -2.007 -2.300 1
10.20 -2.193 -2.057 -2.345 1
10.40 -2.238 -2.081 -2.417 1
10.60 -2.305 -2.150 -2.481 1
10.80 -2.414 -2.227 -2.633 1
11.00 -2.596 -2.388 -2.844 1
11.20 -2.886 -2.615 -3.228 1
11.40 -3.339 -3.023 -3.757 1
11.60 -3.382 -3.207 -3.584 1
11.80 -3.883 -3.635 -4.190 1
12.00 -4.885 -4.485 -9.990 1
# 14 0.60 0.80 0.24 0.7 Perez-Gonzalez 2008
9.20 -2.067 -1.823 -2.367 1
9.40 -2.041 -1.888 -2.214 1
9.60 -2.050 -1.930 -2.182 1
9.80 -2.064 -1.966 -2.170 1
10.00 -2.124 -2.031 -2.224 1
10.20 -2.174 -2.069 -2.288 1
10.40 -2.254 -2.147 -2.371 1
10.60 -2.367 -2.251 -2.495 1
10.80 -2.509 -2.375 -2.659 1
11.00 -2.650 -2.500 -2.820 1
11.20 -2.830 -2.632 -3.063 1
11.40 -3.280 -3.006 -3.628 1
11.60 -3.607 -3.311 -3.990 1
11.80 -4.042 -3.817 -4.315 1
# 13 0.80 1.00 0.24 0.7 Perez-Gonzalez 2008
9.40 -2.053 -1.975 -2.136 1
9.60 -2.162 -2.079 -2.250 1
9.80 -2.203 -2.114 -2.298 1
10.00 -2.254 -2.164 -2.350 1
10.20 -2.326 -2.223 -2.438 1
10.40 -2.379 -2.275 -2.492 1
10.60 -2.509 -2.391 -2.639 1
10.80 -2.599 -2.481 -2.729 1
11.00 -2.742 -2.583 -2.923 1
11.20 -2.893 -2.677 -3.152 1
11.40 -3.160 -2.890 -3.501 1
11.60 -3.634 -3.377 -3.955 1
11.80 -4.113 -3.918 -4.343 1
# 13 1.00 1.30 0.24 0.7 Perez-Gonzalez 2008
9.60 -2.285 -2.209 -2.366 1
9.80 -2.294 -2.214 -2.380 1
10.00 -2.355 -2.266 -2.450 1
10.20 -2.468 -2.372 -2.571 1
10.40 -2.508 -2.410 -2.613 1
10.60 -2.563 -2.459 -2.676 1
10.80 -2.647 -2.526 -2.780 1
11.00 -2.788 -2.633 -2.963 1
11.20 -3.032 -2.859 -3.231 1
11.40 -3.392 -3.127 -3.725 1
11.60 -3.678 -3.366 -4.088 1
11.80 -4.232 -3.926 -4.632 1
12.00 -4.663 -4.263 -9.990 1
# 11 1.30 1.60 0.24 0.7 Perez-Gonzalez 2008
10.00 -2.628 -2.525 -2.740 1
10.20 -2.677 -2.571 -2.792 1
